Jurisdiction,State,Land Area,Population,Population Density,PD Rank,Cases,Deaths,Score
Drew,Arkansas,828.36,18219.00,21.99,2172,1972,38,2352
Attala,Mississippi,734.98,18174.00,24.73,2073,2120,72,2840
Gem,Idaho,560.90,18112.00,32.29,1856,1713,34,2053
Yancey,North Carolina,312.60,18069.00,57.80,1330,1494,26,1754
Macon,Alabama,608.89,18068.00,29.67,1935,1518,47,1988
Inyo,California,10180.88,18039.00,1.77,3008,1356,35,1706
Kalkaska,Michigan,559.87,18038.00,32.22,1857,695,15,845
Westmoreland,Virginia,229.38,18015.00,78.54,1065,1157,22,1377
Young,Texas,914.47,18010.00,19.69,2253,2129,43,2559
Randolph,Arkansas,652.19,17958.00,27.53,2000,2047,47,2517
Winston,Mississippi,607.25,17955.00,29.57,1939,2240,80,3040
Russell,Kentucky,253.66,17923.00,70.66,1166,1783,41,2193
Ste. Genevieve,Missouri,499.15,17894.00,35.85,1778,1782,16,1942
Morgan,West Virginia,229.07,17884.00,78.07,1072,956,16,1116
Unicoi,Tennessee,186.17,17883.00,96.06,917,1849,47,2319
Schuyler,New York,328.33,17807.00,54.24,1382,900,12,1020
Johnson,Tennessee,298.48,17788.00,59.60,1304,2194,38,2574
Phillips,Arkansas,695.66,17782.00,25.56,2044,1728,37,2098
Pitkin,Colorado,970.70,17767.00,18.30,2304,2259,4,2299
Benzie,Michigan,319.70,17766.00,55.57,1357,964,32,1284
Franklin,Arkansas,608.86,17715.00,29.10,1950,1666,39,2056
Andrew,Missouri,432.70,17712.00,40.93,1650,1853,18,2033
Cooper,Missouri,564.77,17709.00,31.36,1886,1889,27,2159
Hancock,Illinois,793.73,17708.00,22.31,2164,1686,40,2086
Garrard,Kentucky,230.08,17666.00,76.78,1088,1442,27,1712
Southampton,Virginia,599.15,17631.00,29.43,1942,1883,52,2403
McDowell,West Virginia,430.75,17624.00,40.91,1652,1396,22,1616
Patrick,Virginia,483.10,17608.00,36.45,1759,1267,40,1667
San Juan,Washington,173.92,17582.00,101.09,881,122,0,122
Avery,North Carolina,247.09,17557.00,71.06,1162,1944,20,2144
Clayton,Iowa,778.54,17549.00,22.54,2152,1617,55,2167
Hughes,South Dakota,741.56,17526.00,23.63,2108,2345,36,2705
Arkansas,Arkansas,988.77,17486.00,17.68,2320,2024,35,2374
Manassas Park city,Virginia,2.53,17478.00,6908.30,11,1149,12,1269
Gunnison,Colorado,3239.10,17462.00,5.39,2756,1225,6,1285
Sharp,Arkansas,604.44,17442.00,28.86,1960,1542,45,1992
Leon,Texas,1073.15,17404.00,16.22,2362,1574,41,1984
Colonial Heights city,Virginia,7.52,17370.00,2309.84,50,1473,57,2043
Dukes,Massachusetts,103.25,17332.00,167.86,616,889,0,889
Haywood,Tennessee,533.11,17304.00,32.46,1851,2663,60,3263
Chester,Tennessee,285.74,17297.00,60.53,1294,2056,48,2536
Falls,Texas,765.48,17297.00,22.60,2150,2034,29,2324
Seward,Nebraska,571.43,17284.00,30.25,1917,1886,29,2176
Cook,Georgia,227.16,17270.00,76.03,1100,1764,40,2164
Dickinson,Iowa,380.61,17258.00,45.34,1556,2161,41,2571
Richland,Wisconsin,586.15,17252.00,29.43,1941,1333,15,1483
Lee,Texas,629.02,17239.00,27.41,2005,2090,37,2460
McCreary,Kentucky,229.61,17231.00,75.04,1117,1847,30,2147
Henry,Alabama,561.75,17205.00,30.63,1906,1854,42,2274
Mariposa,California,1448.82,17203.00,11.87,2508,402,7,472
Edgar,Illinois,623.37,17161.00,27.53,2001,1613,59,2203
Buckingham,Virginia,579.66,17148.00,29.58,1938,2054,28,2334
King William,Virginia,273.94,17148.00,62.60,1271,1021,10,1121
Rabun,Georgia,369.99,17137.00,46.32,1531,1604,45,2054
Chickasaw,Mississippi,501.78,17103.00,34.08,1824,2030,55,2580
New Madrid,Missouri,674.84,17076.00,25.30,2050,2089,41,2499
Robertson,Texas,855.68,17074.00,19.95,2243,2043,39,2433
Mason,Kentucky,343.01,17070.00,49.77,1458,1494,31,1804
Delaware,Iowa,577.76,17011.00,29.44,1940,1895,40,2295
Holmes,Mississippi,756.70,17010.00,22.48,2156,1838,71,2548
Sevier,Arkansas,565.13,17007.00,30.09,1924,2772,24,3012
Parke,Indiana,444.66,16937.00,38.09,1717,1427,16,1587
Marshall,Oklahoma,1850.01,16931.00,9.15,2598,1898,12,2018
Dallas,Missouri,540.77,16878.00,31.21,1893,1250,25,1500
Tama,Iowa,721.01,16854.00,23.38,2115,2046,68,2726
Hardin,Iowa,569.31,16846.00,29.59,1937,1737,39,2127
Warren,Illinois,542.41,16844.00,31.05,1897,1670,47,2140
Polk,Tennessee,434.68,16832.00,38.72,1697,1868,24,2108
Humboldt,Nevada,9640.76,16831.00,1.75,3012,1078,13,1208
Lee,South Carolina,410.18,16828.00,41.03,1644,1818,58,2398
Dixie,Florida,705.05,16826.00,23.86,2102,1537,22,1757
Crawford,Iowa,714.19,16820.00,23.55,2111,2581,36,2941
Piscataquis,Maine,3960.86,16785.00,4.24,2812,373,3,403
Bristol city,Virginia,13.01,16762.00,1288.39,117,1244,30,1544
Giles,Virginia,355.78,16720.00,47.00,1520,1132,17,1302
Jackson,Arkansas,633.94,16719.00,26.37,2029,3197,38,3577
Scurry,Texas,905.44,16703.00,18.45,2298,2351,62,2971
Ben Hill,Georgia,250.12,16700.00,66.77,1214,2059,74,2799
Rockcastle,Kentucky,316.55,16695.00,52.74,1411,1404,17,1574
Taylor,West Virginia,172.77,16695.00,96.63,910,1120,21,1330
Marion,Arkansas,597.01,16694.00,27.96,1987,1003,29,1293
Wayne,Tennessee,734.10,16673.00,22.71,2140,2918,31,3228
Idaho,Idaho,8477.35,16667.00,1.97,2990,1189,17,1359
Lafayette,Wisconsin,633.59,16665.00,26.30,2031,1640,7,1710
Union,Illinois,413.46,16653.00,40.28,1668,2220,43,2650
Socorro,New Mexico,6646.68,16637.00,2.50,2948,1234,56,1794
Park,Montana,2803.06,16606.00,5.92,2737,1162,15,1312
Rush,Indiana,408.12,16581.00,40.63,1660,1733,24,1973
Madison,Arkansas,834.26,16576.00,19.87,2247,1423,22,1643
Sawyer,Wisconsin,1257.31,16558.00,13.17,2462,1586,22,1806
Van Buren,Arkansas,708.14,16545.00,23.36,2116,1228,21,1438
Potter,Pennsylvania,1081.32,16526.00,15.28,2388,971,21,1181
Hill,Montana,2898.96,16484.00,5.69,2746,1938,42,2358
Barbour,West Virginia,341.06,16441.00,48.21,1490,1301,23,1531
Bond,Illinois,380.28,16426.00,43.19,1601,1924,30,2224
Cross,Arkansas,616.38,16419.00,26.64,2022,1911,49,2401
Lawrence,Arkansas,587.61,16406.00,27.92,1988,2064,42,2484
Jasper,Mississippi,676.24,16383.00,24.23,2090,2180,47,2650
Pawnee,Oklahoma,567.96,16376.00,28.83,1962,1743,34,2083
Fountain,Indiana,395.66,16346.00,41.31,1641,2041,44,2481
Piatt,Illinois,439.20,16344.00,37.21,1741,1376,20,1576
Madison,Iowa,561.01,16338.00,29.12,1949,1482,19,1672
Kanabec,Minnesota,521.59,16337.00,31.32,1888,1150,21,1360
Washington,Alabama,1080.21,16326.00,15.11,2393,1629,38,2009
Fayette,Alabama,627.66,16302.00,25.97,2036,2048,58,2628
Alamosa,Colorado,722.64,16233.00,22.46,2158,1338,29,1628
Brunswick,Virginia,566.17,16231.00,28.67,1968,1237,20,1437
Wayne,Illinois,713.81,16215.00,22.72,2139,1698,50,2198
Iowa,Iowa,586.46,16184.00,27.60,1998,1428,23,1658
Richland,North Dakota,1435.78,16177.00,11.27,2529,1851,17,2021
Bates,Missouri,836.69,16172.00,19.33,2268,1301,27,1571
Benton,Tennessee,394.14,16160.00,41.00,1645,1540,39,1930
Casey,Kentucky,444.23,16159.00,36.38,1760,1308,34,1648
Moniteau,Missouri,415.03,16132.00,38.87,1693,1770,29,2060
Crawford,Wisconsin,570.66,16131.00,28.27,1975,1724,17,1894
Henry,Kentucky,286.28,16126.00,56.33,1346,1274,9,1364
Baker,Oregon,3068.36,16124.00,5.25,2762,698,12,818
Dade,Georgia,173.98,16116.00,92.63,948,1361,11,1471
Atchison,Kansas,431.17,16073.00,37.28,1735,1547,13,1677
Clay,Iowa,567.24,16016.00,28.23,1978,1930,25,2180
Otoe,Nebraska,615.63,16012.00,26.01,2035,1356,9,1446
Neosho,Kansas,571.47,16007.00,28.01,1983,1748,22,1968
Reeves,Texas,2635.38,15976.00,6.06,2731,1699,40,2099
Osage,Kansas,705.52,15949.00,22.61,2149,1202,11,1312
Union,South Dakota,460.54,15932.00,34.59,1813,2075,40,2475
Smith,Mississippi,636.25,15916.00,25.02,2060,1564,34,1904
Appomattox,Virginia,333.49,15911.00,47.71,1500,1457,23,1687
Lewis,West Virginia,384.90,15907.00,41.33,1640,1068,20,1268
Aitkin,Minnesota,1821.66,15886.00,8.72,2618,1200,35,1550
Telfair,Georgia,437.30,15860.00,36.27,1764,1257,54,1797
Pecos,Texas,4763.85,15823.00,3.32,2881,1551,34,1891
Pemiscot,Missouri,492.54,15805.00,32.09,1864,1539,29,1829
Kingfisher,Oklahoma,898.16,15765.00,17.55,2324,2004,26,2264
Floyd,Virginia,380.42,15749.00,41.40,1637,773,20,973
Jackson,Louisiana,569.18,15744.00,27.66,1993,1815,50,2315
Grand,Colorado,1846.33,15734.00,8.52,2627,1310,6,1370
Washburn,Wisconsin,797.11,15720.00,19.72,2252,1404,20,1604
Lawrence,Illinois,372.18,15678.00,42.12,1618,2354,33,2684
Claiborne,Louisiana,754.88,15670.00,20.76,2218,1419,52,1939
Floyd,Iowa,500.63,15642.00,31.24,1892,1508,41,1918
De Witt,Illinois,631.31,15638.00,24.77,2071,1300,30,1600
Karnes,Texas,747.56,15601.00,20.87,2211,1809,33,2139
Marquette,Wisconsin,455.60,15574.00,34.18,1819,1503,27,1773
Dent,Missouri,752.79,15573.00,20.69,2220,906,17,1076
West Feliciana,Louisiana,403.21,15568.00,38.61,1703,1126,32,1446
Ashland,Wisconsin,1045.04,15562.00,14.89,2401,1261,16,1421
Pike,Illinois,831.38,15561.00,18.72,2287,1723,53,2253
Grayson,Virginia,442.18,15550.00,35.17,1796,1175,31,1485
Clarke,Mississippi,691.55,15541.00,22.47,2157,1730,75,2480
Richland,Illinois,359.99,15513.00,43.09,1604,1653,48,2133
Vermillion,Indiana,256.88,15498.00,60.33,1295,1628,43,2058
Torrance,New Mexico,3344.85,15461.00,4.62,2792,716,12,836
Brooks,Georgia,493.05,15457.00,31.35,1887,1356,46,1816
Clark,Illinois,501.42,15441.00,30.79,1903,1707,40,2107
Mercer,Illinois,561.20,15437.00,27.51,2002,1300,33,1630
Burnett,Wisconsin,821.85,15414.00,18.76,2284,1363,23,1593
Jefferson,Georgia,526.49,15362.00,29.18,1947,1887,60,2487
Lawrence,Kentucky,415.60,15317.00,36.86,1753,1318,20,1518
San Juan,Utah,7819.99,15308.00,1.96,2992,1827,37,2197
Oglethorpe,Georgia,439.01,15259.00,34.76,1809,1436,28,1716
Union,Florida,243.56,15237.00,62.56,1273,1765,70,2465
Nottoway,Virginia,314.39,15232.00,48.45,1483,1841,43,2271
Livingston,Missouri,532.33,15227.00,28.60,1969,1718,38,2098
Gooding,Idaho,728.97,15179.00,20.82,2216,1275,23,1505
Redwood,Minnesota,878.57,15170.00,17.27,2331,1505,34,1845
Roseau,Minnesota,1671.60,15165.00,9.07,2605,1844,17,2014
Tipton,Indiana,260.54,15148.00,58.14,1329,1549,44,1989
Missaukee,Michigan,564.73,15118.00,26.77,2019,962,19,1152
Macon,Missouri,539.48,15117.00,28.02,1982,1531,15,1681
Jeff Davis,Georgia,330.74,15115.00,45.70,1550,1828,46,2288
Mills,Iowa,437.44,15109.00,34.54,1815,1528,20,1728
Page,Iowa,534.94,15107.00,28.24,1977,1829,19,2019
Brown,Indiana,311.98,15092.00,48.37,1485,963,40,1363
Wetzel,West Virginia,358.06,15065.00,42.07,1621,1131,25,1381
Bledsoe,Tennessee,406.43,15064.00,37.06,1747,2047,10,2147
Harrison,Ohio,402.34,15040.00,37.38,1734,1022,36,1382
Bayfield,Wisconsin,1477.86,15036.00,10.17,2560,1155,19,1345
Sequatchie,Tennessee,265.86,15026.00,56.52,1344,1606,26,1866
McKenzie,North Dakota,2760.32,15024.00,5.44,2754,1180,12,1300
Mitchell,North Carolina,221.43,14964.00,67.58,1201,1287,16,1447
Williamsburg city,Virginia,9.02,14954.00,1657.87,82,564,11,674
Nelson,Virginia,470.86,14930.00,31.71,1878,845,11,955
Cleburne,Alabama,560.10,14910.00,26.62,2023,1443,41,1853
LaSalle,Louisiana,624.68,14892.00,23.84,2103,1442,35,1792
Arenac,Michigan,363.19,14883.00,40.98,1647,775,26,1035
Sibley,Minnesota,588.78,14865.00,25.25,2052,1220,10,1320
Alleghany,Virginia,445.46,14860.00,33.36,1838,1263,48,1743
Kossuth,Iowa,972.72,14813.00,15.23,2389,2036,58,2616
Knott,Kentucky,351.52,14806.00,42.12,1619,1099,22,1319
Carbon,Wyoming,7897.58,14800.00,1.87,3001,1507,23,1737
Hamilton,Iowa,576.75,14773.00,25.61,2043,1751,44,2191
Jackson,Texas,829.44,14760.00,17.80,2317,1716,30,2016
Nolan,Texas,912.00,14714.00,16.13,2365,1516,50,2016
Gasconade,Missouri,517.80,14706.00,28.40,1973,1554,42,1974
Cannon,Tennessee,265.64,14678.00,55.26,1364,1826,31,2136
Choctaw,Oklahoma,770.36,14672.00,19.05,2279,1592,14,1732
Hale,Alabama,643.94,14651.00,22.75,2136,2146,72,2866
Trigg,Kentucky,441.43,14651.00,33.19,1843,1142,12,1262
Trinity,Texas,693.61,14651.00,21.12,2203,703,23,933
Clarke,Virginia,176.18,14619.00,82.98,1024,861,19,1051
Falls Church city,Virginia,2.00,14617.00,7308.50,10,371,10,471
Pendleton,Kentucky,277.16,14590.00,52.64,1412,983,2,1003
Fleming,Kentucky,348.54,14581.00,41.83,1628,1103,17,1273
Calhoun,South Carolina,381.15,14553.00,38.18,1715,1267,36,1627
Clay,Arkansas,639.47,14551.00,22.75,2135,1712,48,2192
Renville,Minnesota,982.91,14548.00,14.80,2403,1574,41,1984
Bourbon,Kansas,635.47,14534.00,22.87,2131,1304,3,1334
Fulton,Pennsylvania,437.55,14530.00,33.21,1842,1165,15,1315
Morgan,Ohio,416.42,14508.00,34.84,1803,1036,22,1256
Las Animas,Colorado,4772.67,14506.00,3.04,2906,1028,11,1138
Moultrie,Illinois,335.94,14501.00,43.17,1603,1521,33,1851
Mono,California,3048.98,14444.00,4.74,2786,1244,4,1284
Butler,Iowa,580.13,14439.00,24.89,2065,1605,32,1925
Hamilton,Florida,513.79,14428.00,28.08,1980,1577,23,1807
Noble,Ohio,398.01,14424.00,36.24,1766,1302,37,1672
Larue,Kentucky,261.52,14398.00,55.06,1368,1263,24,1503
Union,Kentucky,342.85,14381.00,41.95,1625,1284,14,1424
McIntosh,Georgia,366.00,14378.00,39.28,1683,810,16,970
Calhoun,Mississippi,586.57,14361.00,24.48,2080,1615,29,1905
Cedar,Missouri,474.48,14349.00,30.24,1919,1090,20,1290
Dickenson,Virginia,330.53,14318.00,43.32,1597,892,15,1042
Carroll,Illinois,444.81,14305.00,32.16,1862,1604,36,1964
Walthall,Mississippi,403.94,14286.00,35.37,1791,1281,42,1701
Madison,Texas,1065.60,14284.00,13.40,2451,1913,27,2183
Swain,North Carolina,528.00,14271.00,27.03,2014,1180,16,1340
Jefferson,Florida,598.10,14246.00,23.82,2104,1416,24,1656
Crockett,Tennessee,265.54,14230.00,53.59,1394,1975,48,2455
Saline,Nebraska,574.02,14224.00,24.78,2070,1955,3,1985
Jasper,Georgia,368.17,14219.00,38.62,1700,1349,33,1679
Zapata,Texas,998.41,14179.00,14.20,2424,1754,30,2054
Rusk,Wisconsin,913.59,14178.00,15.52,2381,1321,17,1491
Oglala Lakota,South Dakota,2776.55,14177.00,5.11,2770,2080,49,2570
Rolette,North Dakota,903.08,14176.00,15.70,2375,2131,28,2411
Craig,Oklahoma,761.35,14142.00,18.57,2293,1916,11,2026
Pennington,Minnesota,616.57,14119.00,22.90,2130,1458,18,1638
Estill,Kentucky,253.08,14106.00,55.74,1353,1019,11,1129
Calhoun,Florida,567.33,14105.00,24.86,2068,1647,42,2067
Murray,Oklahoma,416.46,14073.00,33.79,1828,1942,23,2172
Clay,South Dakota,412.19,14070.00,34.13,1822,1839,15,1989
Bamberg,South Carolina,393.37,14066.00,35.76,1782,1497,50,1997
Harrison,Iowa,696.85,14049.00,20.16,2235,1699,70,2399
Archuleta,Colorado,1350.18,14029.00,10.39,2554,724,1,734
Crawford,Michigan,556.28,14029.00,25.22,2053,649,5,699
Newton,Indiana,401.76,13984.00,34.81,1806,988,35,1338
Gogebic,Michigan,1101.85,13975.00,12.68,2474,1307,49,1797
Screven,Georgia,645.10,13966.00,21.65,2181,929,26,1189
Braxton,West Virginia,510.81,13957.00,27.32,2007,807,1,817
Chowan,North Carolina,172.47,13943.00,80.84,1043,1392,22,1612
Callahan,Texas,899.37,13943.00,15.50,2382,1157,38,1537
Winn,Louisiana,950.09,13904.00,14.63,2411,1482,40,1882
Ketchikan Gateway Borough,Alaska,4858.41,13901.00,2.86,2918,368,1,378
Washington,Illinois,562.57,13887.00,24.68,2075,1602,31,1912
Franklin,Idaho,663.65,13876.00,20.91,2207,1122,16,1282
Converse,Wyoming,4254.88,13822.00,3.25,2888,974,17,1144
Glades,Florida,806.01,13811.00,17.14,2335,919,19,1109
Tallahatchie,Mississippi,645.29,13809.00,21.40,2194,1735,39,2125
Lamar,Alabama,604.85,13805.00,22.82,2133,1372,33,1702
Hardy,West Virginia,582.31,13776.00,23.66,2106,1338,23,1568
Crenshaw,Alabama,608.84,13772.00,22.62,2147,1491,57,2061
Massac,Illinois,572.36,13772.00,24.06,2093,1303,39,1693
Atoka,Oklahoma,975.52,13758.00,14.10,2427,1831,15,1981
O'Brien,Iowa,573.04,13753.00,24.00,2096,1887,58,2467
Glacier,Montana,2995.94,13753.00,4.59,2793,1523,31,1833
Pend Oreille,Washington,1399.99,13724.00,9.80,2572,657,7,727
Stewart,Tennessee,459.33,13715.00,29.86,1928,1265,25,1515
Roane,West Virginia,483.56,13688.00,28.31,1974,509,8,589
Allamakee,Iowa,639.08,13687.00,21.42,2193,1474,48,1954
Wadena,Minnesota,536.27,13682.00,25.51,2045,1345,20,1545
York,Nebraska,572.51,13679.00,23.89,2099,1690,13,1820
Monroe,Ohio,455.72,13654.00,29.96,1926,1222,39,1612
Faribault,Minnesota,712.48,13653.00,19.16,2274,1330,18,1510
Gulf,Florida,564.01,13639.00,24.18,2091,1897,41,2307
Comanche,Texas,937.75,13635.00,14.54,2414,1509,51,2019
Izard,Arkansas,580.58,13629.00,23.47,2112,1649,41,2059
Osage,Missouri,604.35,13615.00,22.53,2153,1611,14,1751
Newton,Texas,933.68,13595.00,14.56,2413,577,34,917
Greene,Mississippi,712.76,13586.00,19.06,2278,1291,33,1621
White,Illinois,494.77,13537.00,27.36,2006,1645,35,1995
Perquimans,North Carolina,247.09,13463.00,54.49,1376,937,9,1027
Grundy,Tennessee,360.53,13427.00,37.24,1739,1725,30,2025
Charlton,Georgia,773.58,13392.00,17.31,2329,1337,28,1617
Dooly,Georgia,391.94,13390.00,34.16,1820,1049,43,1479
Mason,Illinois,715.58,13359.00,18.67,2290,1311,42,1731
Price,Wisconsin,1254.38,13351.00,10.64,2546,1270,7,1340
Jackson,Kentucky,345.20,13329.00,38.61,1702,1262,29,1552
Big Horn,Montana,4995.46,13319.00,2.67,2929,2353,71,3063
Morgan,Kentucky,381.13,13309.00,34.92,1800,2076,3,2106
Ripley,Missouri,629.54,13288.00,21.11,2204,1044,15,1194
Moffat,Colorado,4743.29,13283.00,2.80,2922,694,22,914
Hughes,Oklahoma,804.65,13279.00,16.50,2353,1183,19,1373
Lewis,Kentucky,482.84,13275.00,27.49,2003,1122,31,1432
Monroe,West Virginia,472.75,13275.00,28.08,1981,999,14,1139
Madison,Virginia,320.68,13261.00,41.35,1639,551,14,691
Bienville,Louisiana,811.27,13241.00,16.32,2357,1615,79,2405
Clay,Alabama,603.96,13235.00,21.91,2174,1480,54,2020
Goshen,Wyoming,2225.39,13211.00,5.94,2735,1165,23,1395
Howard,Arkansas,588.55,13202.00,22.43,2160,1618,23,1848
Millard,Utah,6572.43,13188.00,2.01,2986,1390,11,1500
Douglas,Missouri,813.63,13185.00,16.21,2363,894,27,1164
Clay,Illinois,468.32,13184.00,28.15,1979,1450,47,1920
Mississippi,Missouri,411.58,13180.00,32.02,1868,1410,26,1670
Jackson,Kansas,656.22,13171.00,20.07,2238,1360,15,1510
Amelia,Virginia,355.27,13145.00,37.00,1749,803,26,1063
Fremont,Idaho,1863.53,13099.00,7.03,2689,1061,14,1201
Camp,Texas,195.83,13094.00,66.86,1210,1197,42,1617
Vinton,Ohio,412.36,13085.00,31.73,1876,777,13,907
Buffalo,Wisconsin,671.64,13031.00,19.40,2262,1357,7,1427
Lincoln,Arkansas,561.52,13024.00,23.19,2124,3172,47,3642
Kodiak Island Borough,Alaska,6549.58,12998.00,1.98,2987,1059,5,1109
Greene,Illinois,543.02,12969.00,23.88,2100,1395,45,1845
Ford,Illinois,485.62,12961.00,26.69,2020,1629,54,2169
Macon,Georgia,257.46,12947.00,50.29,1446,808,27,1078
Webster,Kentucky,331.94,12942.00,38.99,1689,1184,19,1374
Lamb,Texas,712.84,12893.00,18.09,2308,1993,80,2793
Shoshone,Idaho,2629.67,12882.00,4.90,2781,1033,33,1363
Butler,Kentucky,426.09,12879.00,30.23,1920,1404,23,1634
Bleckley,Georgia,215.87,12873.00,59.63,1303,1443,50,1943
Wayne,Missouri,759.18,12873.00,16.96,2341,1025,11,1135
Cass,Iowa,564.27,12836.00,22.75,2137,1320,52,1840
Lake,South Dakota,563.28,12797.00,22.72,2138,1257,18,1437
Wilbarger,Texas,970.84,12769.00,13.15,2463,1882,55,2432
Caldwell,Kentucky,344.79,12747.00,36.97,1751,1285,26,1545
Dawson,Texas,900.31,12728.00,14.14,2426,1716,68,2396
Pamlico,North Carolina,336.54,12726.00,37.81,1725,1013,11,1123
Breathitt,Kentucky,492.41,12630.00,25.65,2042,960,7,1030
Haskell,Oklahoma,576.52,12627.00,21.90,2175,1235,11,1345
Presque Isle,Michigan,658.72,12592.00,19.12,2275,690,28,970
Choctaw,Alabama,913.50,12589.00,13.78,2437,581,24,821
Lawrence,Mississippi,430.67,12586.00,29.22,1945,1237,22,1457
Summers,West Virginia,360.46,12573.00,34.88,1801,711,23,941
Wright,Iowa,580.42,12562.00,21.64,2182,1759,32,2079
Martinsville city,Virginia,10.96,12554.00,1145.44,130,1530,71,2240
DeKalb,Missouri,421.36,12547.00,29.78,1931,1145,29,1435
Rains,Texas,229.45,12514.00,54.54,1374,779,25,1029
Stone,Arkansas,606.41,12506.00,20.62,2224,982,29,1272
Bath,Kentucky,278.79,12500.00,44.84,1572,807,20,1007
Fulton,Arkansas,618.19,12477.00,20.18,2234,1098,47,1568
Sumter,Alabama,903.89,12427.00,13.75,2438,1023,31,1333
Appanoose,Iowa,497.29,12426.00,24.99,2062,1246,47,1716
Meigs,Tennessee,195.12,12422.00,63.66,1257,1287,23,1517
Johnson,Illinois,343.92,12417.00,36.10,1771,1364,18,1544
Crawford,Georgia,324.89,12404.00,38.18,1716,637,17,807
Pike,Indiana,334.24,12389.00,37.07,1746,1286,34,1626
Morris,Texas,251.99,12388.00,49.16,1470,844,33,1174
Allen,Kansas,500.30,12369.00,24.72,2074,1189,1,1199
Powell,Kentucky,178.98,12359.00,69.05,1185,1035,6,1095
Pulaski,Indiana,433.65,12353.00,28.49,1972,1099,44,1539
Terry,Texas,888.84,12337.00,13.88,2433,1682,54,2222
Amite,Mississippi,730.10,12297.00,16.84,2344,1167,37,1537
Todd,Kentucky,374.50,12294.00,32.83,1846,1025,24,1265
Trinity,California,3179.25,12285.00,3.86,2844,311,3,341
Poquoson city,Virginia,15.32,12271.00,800.98,180,772,16,932
Lewis,Tennessee,282.09,12268.00,43.49,1594,1492,25,1742
Little River,Arkansas,532.25,12259.00,23.03,2126,1205,40,1605
Boundary,Idaho,1268.56,12245.00,9.65,2579,836,10,936
Union,Iowa,423.65,12241.00,28.89,1959,1208,31,1518
Grundy,Iowa,501.86,12232.00,24.37,2085,1331,31,1641
Koochiching,Minnesota,3104.07,12229.00,3.94,2833,633,11,743
Jefferson,Montana,1656.26,12221.00,7.38,2678,1040,8,1120
Live Oak,Texas,1039.70,12207.00,11.74,2514,1117,20,1317
Menard,Illinois,314.44,12196.00,38.79,1694,1086,12,1206
Lunenburg,Virginia,431.68,12196.00,28.25,1976,705,9,795
Prowers,Colorado,1638.40,12172.00,7.43,2677,1167,21,1377
Magoffin,Kentucky,426.80,12161.00,28.49,1971,884,13,1014
Edmonson,Kentucky,302.88,12150.00,40.11,1672,918,20,1118
Cass,Illinois,375.82,12147.00,32.32,1854,1901,33,2231
Teton,Idaho,449.46,12142.00,27.01,2015,1128,4,1168
Bollinger,Missouri,617.91,12133.00,19.64,2254,1122,12,1242
Franklin,Florida,534.73,12125.00,22.67,2142,1289,16,1449
Morgan,Utah,609.20,12124.00,19.90,2245,1150,11,1260
Sanders,Montana,2760.52,12113.00,4.39,2801,596,11,706
Yalobusha,Mississippi,467.13,12108.00,25.92,2037,1525,36,1885
Washington,Kentucky,297.27,12095.00,40.69,1658,1383,32,1703
Northumberland,Virginia,191.30,12095.00,63.23,1263,691,19,881
